base_mean_target_mass,base_rank1_rate,protected_lift_vs_base,protected_lift_vs_task_only,protected_mean_target_mass,protected_median_target_margin,protected_rank1_rate,row_count_per_condition,target_surface_label,task_only_mean_target_mass,task_only_rank1_rate
0.0019137380151335037,0.421875,0.0014954969445568622,0.002820891024488681,0.003409234959690366,-0.1398012696299702,0.0,64,explain the support materials for the team,0.000588343935201685,0.4375
0.011821332912859361,0.71875,0.007041905481401045,0.012279721951635736,0.018863238394260406,0.002301674336194992,0.734375,64,explain the timing choice for the team,0.006583516442624671,0.75
0.00016769811070460605,0.1875,0.002496943544723962,0.0026571200246011117,0.002664641655428568,0.0005548379849642515,0.796875,64,flag the next detail for the team,7.5216308274561605e-06,0.28125
0.0020858347051806447,0.28125,-0.0006809819860471578,0.0006892198395518356,0.001404852719133487,-0.00016194037743844092,0.109375,64,inspect the working notes for the team,0.0007156328795816513,0.34375
0.019982679754320998,0.875,-0.01761467223695945,-0.004756283304914177,0.002368007517361548,-0.14171216578688473,0.0,64,map the next detail for the team,0.007124290822275725,0.890625
0.018522201560728035,0.921875,-0.01669843096718182,-0.018269548260207102,0.0018237705935462145,5.351187428459525e-05,0.578125,64,map the timing choice for the team,0.020093318853753317,0.953125
0.007776128278806027,0.65625,-0.005976984511676164,6.704515797828492e-05,0.0017991437671298627,7.311912486329675e-05,0.65625,64,map the working notes for the team,0.0017320986091515778,0.65625
0.012377475982930264,0.828125,-0.010755486027619554,-0.0011634488996197234,0.0016219899553107098,-0.00032741198083385825,0.171875,64,measure the timing choice for the team,0.002785438854930433,0.828125
0.0024751451856488416,0.0625,-0.0007640716558441341,0.0011530574027893703,0.0017110735298047075,0.00033045257441699505,0.921875,64,measure the working notes for the team,0.0005580161270153372,0.078125
0.007413193612364921,0.71875,0.010023956682061907,0.01609494290789648,0.01743715029442683,-0.13356320280581713,0.0,64,organize the next detail for the team,0.0013422073865303474,0.6875
0.005011370576880836,0.828125,0.011259828493734858,0.015284959237082063,0.016271199070615694,0.0122135792626068,1.0,64,organize the status update for the team,0.0009862398335336309,0.640625
0.010980566886473753,0.1875,0.006895703122381747,0.015260337204466623,0.0178762700088555,3.850553184747696e-05,0.5,64,organize the support materials for the team,0.0026159328043888763,0.125
0.011956439666391816,0.9375,0.006332428827590775,0.01550897913328697,0.01828886849398259,0.0026703677140176296,0.609375,64,organize the timing choice for the team,0.00277988936069562,0.953125
0.021693909810892364,0.296875,-0.003960355498747958,0.0013073809497967659,0.017733554312144406,-0.0009089112281799316,0.40625,64,outline the support materials for the team,0.01642617336234764,0.25
0.018026147914042667,0.875,0.002507483292447432,0.009978308992629081,0.0205336312064901,0.0051634726114571095,0.875,64,outline the working notes for the team,0.010555322213861018,0.859375
0.07056117329534572,0.96875,0.08080030938822347,0.108740787476993,0.1513614826835692,0.14970352675300092,1.0,64,prepare the status update for the team,0.04262069520657619,0.96875
0.017311557249740872,1.0,-0.012364652461656078,-0.0056689593706096275,0.004946904788084794,0.002734625479206443,1.0,64,prioritize the timing choice for the team,0.010615864158694421,1.0
0.018296941580956627,0.75,0.003565233996596362,0.009157083455306747,0.02186217557755299,0.006457237061113119,0.96875,64,prioritize the working notes for the team,0.012705092122246242,0.8125
9.59815707517464e-05,0.0625,0.0016942302471818493,0.001786887044237906,0.0017902118179335957,0.00017346267122775316,0.84375,64,record the next detail for the team,3.324773695689842e-06,0.15625
7.052329914358779e-05,0.40625,0.002611836602739004,0.0026790100742101752,0.0026823599018825917,0.0010639222455210984,1.0,64,record the support materials for the team,3.3498276724164278e-06,0.453125
8.270659025910732e-05,0.09375,0.0016416853616796345,0.0017176213619380931,0.0017243919519387418,8.604297181591392e-05,0.609375,64,refine the next detail for the team,6.770590000648724e-06,0.171875
0.00017008488674896682,0.09375,0.0023713490457435427,0.002530643626415058,0.0025414339324925095,0.0009444207535125315,1.0,64,refine the support materials for the team,1.0790306077451683e-05,0.1875
0.0001002920847303912,0.15625,0.001347030842830499,0.0014365012769910895,0.00144732292756089,-0.0009991375845856965,0.046875,64,refine the working notes for the team,1.0821650569800556e-05,0.203125
0.010530081544118275,0.65625,0.134345543138636,0.13938907737009298,0.14487562468275428,0.14333667943719774,1.0,64,review the status update for the team,0.005486547312661294,0.578125
0.0047900386753099156,0.8125,-0.0031010924476504442,0.0007329821204722364,0.0016889462276594713,-0.000260884000454098,0.28125,64,review the support materials for the team,0.0009559641071872349,0.859375
0.015336508250072711,0.65625,-0.013123126275274899,-0.002448916548516422,0.0022133819747978123,-0.1412962139584124,0.0,64,review the timing choice for the team,0.0046622985233142344,0.65625
0.003833941890832193,0.015625,0.0007598391992473807,0.0027731423521579757,0.004593781090079574,-0.013303735060617328,0.0,64,schedule the next detail for the team,0.0018206387379215982,0.09375
0.015076108504672447,1.0,-0.009511737064258341,-0.0036689160871787863,0.0055643714404141065,0.003629758022725582,1.0,64,schedule the timing choice for the team,0.009233287527592893,1.0
0.02261384268240363,0.796875,-0.003113860469966312,0.007050870097373263,0.019499982212437317,0.0024440023116767406,0.546875,64,schedule the working notes for the team,0.012449112115064054,0.828125
0.0030217646740311466,0.34375,0.000277172814548976,0.002930984848980689,0.0032989374885801226,-0.14650950708892196,0.0,64,share the working notes for the team,0.0003679526395994337,0.421875
0.019653653223201673,0.890625,-0.017668731053333886,-0.006915313344197926,0.0019849221698677866,-0.14696476474637166,0.0,64,sort the next detail for the team,0.008900235514065713,0.921875
0.024639841640237137,0.96875,-0.02263804008362058,-0.01765765675523312,0.002001801556616556,0.00027894298546016216,0.84375,64,sort the timing choice for the team,0.019659458311849676,0.96875
0.003993241121037272,0.234375,-0.0007234587693289996,0.001958093796451621,0.0032697823517082725,-0.14583544072229415,0.0,64,summarize the support materials for the team,0.0013116885552566515,0.3125
0.0050996242467817865,0.453125,-0.0014216058776810314,0.0006292314379052755,0.003678018369100755,-0.13969434215687215,0.0,64,summarize the working notes for the team,0.0030487869311954796,0.484375
0.00665242967170343,0.734375,0.012292278507629817,0.017334357791568777,0.018944708179333247,-0.13253759872168303,0.0,64,track the next detail for the team,0.0016103503877644698,0.75
