grid_id,bonus_nats,penalty_nats,max_target_mass,max_kl_budget,base_mean_target_mass,task_only_mean_target_mass,controlled_protected_mean_target_mass,wrong_key_controlled_mean_target_mass,wrong_payload_controlled_mean_target_mass,controlled_protected_lift_vs_base,controlled_protected_lift_vs_task_only,wrong_key_lift_vs_base,wrong_payload_lift_vs_base,controlled_protected_rank1_rate,controlled_protected_median_margin,wrong_key_rank1_rate,wrong_payload_rank1_rate,protected_basic_gate_pass,wrong_key_basic_gate_pass,wrong_payload_basic_gate_pass,null_selectivity_pass,overall_selective_gate_pass
grid_10,0.25,0.25,0.45,0.05,0.00483183704383805,0.0016724278486419664,0.3086691550925025,0.26995851158108053,0.23189092742177309,0.30383731804866443,0.3069967272438605,0.2651266745372425,0.22705909037793504,1.0,0.2945174806081923,1.0,1.0,True,True,True,False,False
grid_11,0.25,0.25,0.45,0.1,0.00483183704383805,0.0016724278486419664,0.3086691550925025,0.26995851158108053,0.23189092742177309,0.30383731804866443,0.3069967272438605,0.2651266745372425,0.22705909037793504,1.0,0.2945174806081923,1.0,1.0,True,True,True,False,False
grid_12,0.5,0.0,0.25,0.05,0.00483183704383805,0.0016724278486419664,0.30028842096362496,0.2869257479114822,0.27357101911184145,0.2954565839197869,0.298615993114983,0.2820939108676441,0.2687391820680034,1.0,0.24987115785916103,1.0,1.0,True,True,True,False,False
grid_13,0.5,0.0,0.25,0.1,0.00483183704383805,0.0016724278486419664,0.30028842096362496,0.2869257479114822,0.27357101911184145,0.2954565839197869,0.298615993114983,0.2820939108676441,0.2687391820680034,1.0,0.24987115785916103,1.0,1.0,True,True,True,False,False
grid_14,0.5,0.0,0.35,0.05,0.00483183704383805,0.0016724278486419664,0.32249544797377894,0.29802903508698364,0.27357101911184145,0.3176636109299409,0.32082302012513697,0.2931971980431456,0.2687391820680034,1.0,0.33884464189759456,1.0,1.0,True,True,True,False,False
grid_15,0.5,0.0,0.35,0.1,0.00483183704383805,0.0016724278486419664,0.32249544797377894,0.29802903508698364,0.27357101911184145,0.3176636109299409,0.32082302012513697,0.2931971980431456,0.2687391820680034,1.0,0.33884464189759456,1.0,1.0,True,True,True,False,False
grid_16,0.5,0.0,0.45,0.05,0.00483183704383805,0.0016724278486419664,0.3419689047514112,0.3076101545966594,0.27357101911184145,0.3371370677075731,0.3402964769027692,0.30277831755282136,0.2687391820680034,1.0,0.34870358047191985,1.0,1.0,True,True,True,False,False
grid_17,0.5,0.0,0.45,0.1,0.00483183704383805,0.0016724278486419664,0.3419689047514112,0.3076101545966594,0.27357101911184145,0.3371370677075731,0.3402964769027692,0.30277831755282136,0.2687391820680034,1.0,0.34870358047191985,1.0,1.0,True,True,True,False,False
grid_18,0.5,0.25,0.25,0.05,0.00483183704383805,0.0016724278486419664,0.3003472530399449,0.2657708363535676,0.23161212356353644,0.29551541599610687,0.29867482519130295,0.2609389993097295,0.2267802865196984,1.0,0.24988551239584922,1.0,1.0,True,True,True,False,False
grid_19,0.5,0.25,0.25,0.1,0.00483183704383805,0.0016724278486419664,0.3003472530399449,0.2657708363535676,0.23161212356353644,0.29551541599610687,0.29867482519130295,0.2609389993097295,0.2267802865196984,1.0,0.24988551239584922,1.0,1.0,True,True,True,False,False
