grid_index,bonus_nats,penalty_nats,max_target_mass,max_kl_budget,controlled_mean_target_mass,controlled_lift_vs_base,controlled_lift_vs_task_only,controlled_rank1_rate,controlled_median_target_margin,controlled_basic_gate_pass,wrong_key_mean_target_mass,wrong_key_lift_vs_base,wrong_key_rank1_rate,wrong_key_basic_gate_pass,wrong_payload_mean_target_mass,wrong_payload_lift_vs_base,wrong_payload_rank1_rate,wrong_payload_basic_gate_pass,overall_selective_gate_pass,path
16,2.0,0.25,0.45,0.1,0.04417949569984847,0.03373623655385939,0.03865547527831845,0.809814453125,0.010089602365042083,False,0.025978753768519644,0.015535494622530566,0.52197265625,False,0.008053406129388596,-0.002389853016600482,0.24267578125,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_16/r4_teacher_forced_surface_mass_summary.json
20,2.0,0.5,0.45,0.1,0.04416069475373874,0.03371743560774966,0.03863667433220872,0.83056640625,0.010816201222041855,False,0.025159292277850173,0.014716033131861095,0.519775390625,False,0.00642674628678902,-0.004016512859200058,0.221435546875,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_20/r4_teacher_forced_surface_mass_summary.json
10,1.75,0.25,0.5,0.1,0.04040827082675791,0.02996501168076883,0.03488425040522789,0.789306640625,0.0073216090895584784,False,0.024121743930806475,0.013678484784817396,0.52685546875,False,0.008055771735078404,-0.002387487410910674,0.270263671875,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_10/r4_teacher_forced_surface_mass_summary.json
14,1.75,0.5,0.5,0.1,0.040402428797311596,0.029959169651322518,0.03487840837578158,0.809814453125,0.007900490396423265,False,0.023290511230775968,0.01284725208478689,0.52197265625,False,0.006397659059683425,-0.0040456000863056535,0.24267578125,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_14/r4_teacher_forced_surface_mass_summary.json
8,1.75,0.25,0.45,0.1,0.040329073512422875,0.029885814366433797,0.03480505309089286,0.789306640625,0.0073216090895584784,False,0.02408524649537526,0.013641987349386181,0.52685546875,False,0.008056125234182171,-0.0023871339118069074,0.270263671875,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_08/r4_teacher_forced_surface_mass_summary.json
12,1.75,0.5,0.45,0.1,0.04032325274332471,0.029879993597335633,0.034799232321794694,0.809814453125,0.007900490396423265,False,0.02325402613136851,0.012810766985379432,0.52197265625,False,0.006398049027101782,-0.004045210118887296,0.24267578125,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_12/r4_teacher_forced_surface_mass_summary.json
7,1.5,0.5,0.5,0.2,0.03818679451855289,0.027743535372563813,0.032662774097022874,0.789306640625,0.0057180432436325646,False,0.02224907731807256,0.011805818172083482,0.52685546875,False,0.006354566973283529,-0.004088692172705549,0.270263671875,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_07/r4_teacher_forced_surface_mass_summary.json
3,1.5,0.25,0.5,0.2,0.03813560774888586,0.02769234860289678,0.03261158732735584,0.767822265625,0.005263929080683738,False,0.02306610041752337,0.01262284127153429,0.529541015625,False,0.008044992305646911,-0.002398266840342167,0.298828125,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_03/r4_teacher_forced_surface_mass_summary.json
5,1.5,0.5,0.45,0.2,0.037932164320083506,0.027488905174094427,0.03240814389855349,0.789306640625,0.0057180432436325646,False,0.022122231754220886,0.011678972608231808,0.52685546875,False,0.006356945158672592,-0.004086313987316487,0.270263671875,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_05/r4_teacher_forced_surface_mass_summary.json
1,1.5,0.25,0.45,0.2,0.03788094239298928,0.027437683247000202,0.032356921971459264,0.767822265625,0.005263929080683738,False,0.022939223491230606,0.012495964345241528,0.529541015625,False,0.00804723444873899,-0.0023960246972500876,0.298828125,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_01/r4_teacher_forced_surface_mass_summary.json
6,1.5,0.5,0.5,0.1,0.0357595065803632,0.02531624743437412,0.03023548615883318,0.789306640625,0.0057180432436325646,False,0.020984312510870837,0.010541053364881758,0.52685546875,False,0.00638988031329181,-0.004053378832697269,0.270263671875,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_06/r4_teacher_forced_surface_mass_summary.json
2,1.5,0.25,0.5,0.1,0.03574690789919671,0.025303648753207633,0.030222887477666695,0.767822265625,0.005263929080683738,False,0.021820175858354315,0.011376916712365237,0.529541015625,False,0.008073844686096274,-0.0023694144598928046,0.298828125,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_02/r4_teacher_forced_surface_mass_summary.json
4,1.5,0.5,0.45,0.1,0.035680340399850796,0.025237081253861718,0.03015631997832078,0.789306640625,0.0057180432436325646,False,0.020947830874456827,0.010504571728467749,0.52685546875,False,0.006390279717065864,-0.004052979428923215,0.270263671875,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_04/r4_teacher_forced_surface_mass_summary.json
0,1.5,0.25,0.45,0.1,0.035667713124170886,0.025224453978181807,0.03014369270264087,0.767822265625,0.005263929080683738,False,0.021783680637471645,0.011340421491482566,0.529541015625,False,0.008074205172904678,-0.0023690539730844007,0.298828125,False,False,results/natural_evidence_v2/status/r4_after_867621_reliability_controller_safety_bound_score_867939/grid_00/r4_teacher_forced_surface_mass_summary.json
