grid_index,path,bonus_nats,penalty_nats,max_kl_budget,max_target_mass,mode,condition_plan,score_row_count,scored_row_count,model_generation_started,training_started,llama_started,far_aggregation_started,controller_condition_set,controlled_mean_target_mass,controlled_lift_vs_base,controlled_lift_vs_task_only,controlled_rank1_rate,controlled_median_target_margin,controlled_basic_gate_pass,overall_selective_gate_pass,wrong_key_mean_target_mass,wrong_key_lift_vs_base,wrong_key_rank1_rate,wrong_key_basic_gate_pass,wrong_payload_mean_target_mass,wrong_payload_lift_vs_base,wrong_payload_rank1_rate,wrong_payload_basic_gate_pass,base_mean_target_mass,task_only_mean_target_mass,summary_schema
21,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_21/r4_teacher_forced_surface_mass_summary.json,0.5,0.25,0.1,0.35,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.007910962945288702,0.0030791259014506522,0.006238535096646736,0.37890625,-0.002735977526754141,False,False,0.005812521859515307,0.0009806848156772574,0.2615966796875,False,0.0037298023357266175,-0.0011020347081114323,0.142578125,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
22,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_22/r4_teacher_forced_surface_mass_summary.json,0.5,0.25,0.05,0.45,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.007910962945288702,0.0030791259014506522,0.006238535096646736,0.37890625,-0.002735977526754141,False,False,0.005812252934042306,0.000980415890204256,0.2615966796875,False,0.0037292285575460937,-0.001102608486291956,0.142578125,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
23,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_23/r4_teacher_forced_surface_mass_summary.json,0.5,0.25,0.1,0.45,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.007910962945288702,0.0030791259014506522,0.006238535096646736,0.37890625,-0.002735977526754141,False,False,0.005812252934042306,0.000980415890204256,0.2615966796875,False,0.0037292285575460937,-0.001102608486291956,0.142578125,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
24,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_24/r4_teacher_forced_surface_mass_summary.json,0.75,0.0,0.05,0.25,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.010027306741946518,0.005195469698108468,0.008354878893304551,0.37890625,-0.0035030023282160982,False,False,0.007369699675891184,0.002537862632053134,0.2615966796875,False,0.004731744574378638,-0.00010009246945941186,0.142578125,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
25,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_25/r4_teacher_forced_surface_mass_summary.json,0.75,0.0,0.1,0.25,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.010027306741946518,0.005195469698108468,0.008354878893304551,0.37890625,-0.0035030023282160982,False,False,0.007369699675891184,0.002537862632053134,0.2615966796875,False,0.004731744574378638,-0.00010009246945941186,0.142578125,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
26,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_26/r4_teacher_forced_surface_mass_summary.json,0.75,0.0,0.05,0.35,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.010027306741946518,0.005195469698108468,0.008354878893304551,0.37890625,-0.0035030023282160982,False,False,0.007367759608441382,0.0025359225646033323,0.2615966796875,False,0.004727901221961872,-0.00010393582187617767,0.142578125,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
27,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_27/r4_teacher_forced_surface_mass_summary.json,0.75,0.0,0.1,0.35,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.010027306741946518,0.005195469698108468,0.008354878893304551,0.37890625,-0.0035030023282160982,False,False,0.007367637056219678,0.0025358000123816282,0.2615966796875,False,0.004727661010278439,-0.00010417603355961091,0.142578125,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
28,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_28/r4_teacher_forced_surface_mass_summary.json,0.75,0.0,0.05,0.45,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.010027306741946518,0.005195469698108468,0.008354878893304551,0.37890625,-0.0035030023282160982,False,False,0.00736752935414664,0.0025356923103085904,0.2615966796875,False,0.0047273982206448295,-0.00010443882319322029,0.142578125,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
29,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_29/r4_teacher_forced_surface_mass_summary.json,0.75,0.0,0.1,0.45,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.010027306741946518,0.005195469698108468,0.008354878893304551,0.37890625,-0.0035030023282160982,False,False,0.0073673412828432205,0.0025355042390051707,0.2615966796875,False,0.004727018148066975,-0.00010481889577107495,0.142578125,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
30,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_30/r4_teacher_forced_surface_mass_summary.json,0.75,0.25,0.05,0.25,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.010074681412959308,0.005242844369121258,0.008402253564317341,0.41796875,-0.0023857574051362462,False,False,0.006877920613014066,0.002046083569176016,0.268310546875,False,0.003704929185182948,-0.0011269078586551018,0.123046875,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
31,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_31/r4_teacher_forced_surface_mass_summary.json,0.75,0.25,0.1,0.25,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.010074681412959308,0.005242844369121258,0.008402253564317341,0.41796875,-0.0023857574051362462,False,False,0.006877920613014066,0.002046083569176016,0.268310546875,False,0.003704929185182948,-0.0011269078586551018,0.123046875,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
32,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_32/r4_teacher_forced_surface_mass_summary.json,0.75,0.25,0.05,0.35,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.010074681412959308,0.005242844369121258,0.008402253564317341,0.41796875,-0.0023857574051362462,False,False,0.006874373370486797,0.0020425363266487473,0.268310546875,False,0.0036978940790675097,-0.0011339429647705401,0.123046875,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
