condition,coordinate_id,row_count,mean_target_mass,median_target_mass,mean_target_margin,median_target_margin,rank1_rate
protected,5,256,0.03318801774548774,0.031237170100212097,0.03306730882308084,0.031204357301987784,0.98828125
protected,6,256,0.0027725790207426826,0.0017612556111998856,0.002639692439316388,0.0017085303645671956,0.97265625
protected,7,256,0.03318801774548774,0.031237170100212097,0.03306730882308084,0.031204357301987784,0.98828125
protected,8,256,0.0027725790207426826,0.0017612556111998856,0.002639692439316388,0.0017085303645671956,0.97265625
protected,9,256,0.03318801774548774,0.031237170100212097,0.03306730882308084,0.031204357301987784,0.98828125
protected,10,256,0.0027725790207426826,0.0017612556111998856,0.002639692439316388,0.0017085303645671956,0.97265625
protected,11,256,0.03318801774548774,0.031237170100212097,0.03306730882308084,0.031204357301987784,0.98828125
protected,12,256,0.0027725790207426826,0.0017612556111998856,0.002639692439316388,0.0017085303645671956,0.97265625
protected,13,256,0.03318801774548774,0.031237170100212097,0.03306730882308084,0.031204357301987784,0.98828125
protected,14,256,0.0027725790207426826,0.0017612556111998856,0.002639692439316388,0.0017085303645671956,0.97265625
protected,15,256,0.03318801774548774,0.031237170100212097,0.03306730882308084,0.031204357301987784,0.98828125
protected,16,256,0.0027725790207426826,0.0017612556111998856,0.002639692439316388,0.0017085303645671956,0.97265625
protected,17,256,0.03318801774548774,0.031237170100212097,0.03306730882308084,0.031204357301987784,0.98828125
protected,18,256,0.0027725790207426826,0.0017612556111998856,0.002639692439316388,0.0017085303645671956,0.97265625
protected,19,256,0.03318801774548774,0.031237170100212097,0.03306730882308084,0.031204357301987784,0.98828125
protected,20,256,0.0027725790207426826,0.0017612556111998856,0.002639692439316388,0.0017085303645671956,0.97265625
protected,21,256,0.03318801774548774,0.031237170100212097,0.03306730882308084,0.031204357301987784,0.98828125
protected,22,256,0.0027725790207426826,0.0017612556111998856,0.002639692439316388,0.0017085303645671956,0.97265625
protected,23,256,0.03318801774548774,0.031237170100212097,0.03306730882308084,0.031204357301987784,0.98828125
protected,24,256,0.0027725790207426826,0.0017612556111998856,0.002639692439316388,0.0017085303645671956,0.97265625
protected,25,256,0.03318801774548774,0.031237170100212097,0.03306730882308084,0.031204357301987784,0.98828125
protected,26,256,0.0027725790207426826,0.0017612556111998856,0.002639692439316388,0.0017085303645671956,0.97265625
protected,27,256,0.03318801774548774,0.031237170100212097,0.03306730882308084,0.031204357301987784,0.98828125
protected,28,256,0.0027725790207426826,0.0017612556111998856,0.002639692439316388,0.0017085303645671956,0.97265625
protected,29,256,0.03318801774548774,0.031237170100212097,0.03306730882308084,0.031204357301987784,0.98828125
protected,30,256,0.0027725790207426826,0.0017612556111998856,0.002639692439316388,0.0017085303645671956,0.97265625
protected,31,256,0.03318801774548774,0.031237170100212097,0.03306730882308084,0.031204357301987784,0.98828125
task_only,0,256,0.00020128889196513455,5.917140515521169e-05,-0.021791541895231248,-0.001141490204645379,0.09765625
task_only,1,256,0.003143566805318798,0.0007481965876650065,-0.07762717906104122,-0.01011529759853147,0.30078125
task_only,2,256,0.00020128889196513455,5.917140515521169e-05,-0.021791541895231248,-0.001141490204645379,0.09765625
task_only,3,256,0.003143566805318798,0.0007481965876650065,-0.07762717906104122,-0.01011529759853147,0.30078125
task_only,4,256,0.00020128889196513455,5.917140515521169e-05,-0.021791541895231248,-0.001141490204645379,0.09765625
task_only,5,256,0.003143566805318798,0.0007481965876650065,-0.07762717906104122,-0.01011529759853147,0.30078125
task_only,6,256,0.00020128889196513455,5.917140515521169e-05,-0.021791541895231248,-0.001141490204645379,0.09765625
task_only,7,256,0.003143566805318798,0.0007481965876650065,-0.07762717906104122,-0.01011529759853147,0.30078125
task_only,8,256,0.00020128889196513455,5.917140515521169e-05,-0.021791541895231248,-0.001141490204645379,0.09765625
task_only,9,256,0.003143566805318798,0.0007481965876650065,-0.07762717906104122,-0.01011529759853147,0.30078125
task_only,10,256,0.00020128889196513455,5.917140515521169e-05,-0.021791541895231248,-0.001141490204645379,0.09765625
task_only,11,256,0.003143566805318798,0.0007481965876650065,-0.07762717906104122,-0.01011529759853147,0.30078125
task_only,12,256,0.00020128889196513455,5.917140515521169e-05,-0.021791541895231248,-0.001141490204645379,0.09765625
task_only,13,256,0.003143566805318798,0.0007481965876650065,-0.07762717906104122,-0.01011529759853147,0.30078125
task_only,14,256,0.00020128889196513455,5.917140515521169e-05,-0.021791541895231248,-0.001141490204645379,0.09765625
task_only,15,256,0.003143566805318798,0.0007481965876650065,-0.07762717906104122,-0.01011529759853147,0.30078125
task_only,16,256,0.00020128889196513455,5.917140515521169e-05,-0.021791541895231248,-0.001141490204645379,0.09765625
task_only,17,256,0.003143566805318798,0.0007481965876650065,-0.07762717906104122,-0.01011529759853147,0.30078125
task_only,18,256,0.00020128889196513455,5.917140515521169e-05,-0.021791541895231248,-0.001141490204645379,0.09765625
task_only,19,256,0.003143566805318798,0.0007481965876650065,-0.07762717906104122,-0.01011529759853147,0.30078125
task_only,20,256,0.00020128889196513455,5.917140515521169e-05,-0.021791541895231248,-0.001141490204645379,0.09765625
task_only,21,256,0.003143566805318798,0.0007481965876650065,-0.07762717906104122,-0.01011529759853147,0.30078125
task_only,22,256,0.00020128889196513455,5.917140515521169e-05,-0.021791541895231248,-0.001141490204645379,0.09765625
task_only,23,256,0.003143566805318798,0.0007481965876650065,-0.07762717906104122,-0.01011529759853147,0.30078125
task_only,24,256,0.00020128889196513455,5.917140515521169e-05,-0.021791541895231248,-0.001141490204645379,0.09765625
task_only,25,256,0.003143566805318798,0.0007481965876650065,-0.07762717906104122,-0.01011529759853147,0.30078125
task_only,26,256,0.00020128889196513455,5.917140515521169e-05,-0.021791541895231248,-0.001141490204645379,0.09765625
task_only,27,256,0.003143566805318798,0.0007481965876650065,-0.07762717906104122,-0.01011529759853147,0.30078125
task_only,28,256,0.00020128889196513455,5.917140515521169e-05,-0.021791541895231248,-0.001141490204645379,0.09765625
task_only,29,256,0.003143566805318798,0.0007481965876650065,-0.07762717906104122,-0.01011529759853147,0.30078125
task_only,30,256,0.00020128889196513455,5.917140515521169e-05,-0.021791541895231248,-0.001141490204645379,0.09765625
task_only,31,256,0.003143566805318798,0.0007481965876650065,-0.07762717906104122,-0.01011529759853147,0.30078125
